Block,District,Ward,Beat,location_id
092XX S INDIANA AVE,6,6,634,29000
025XX W 21ST ST,10,28,1023,29001
045XX S KILDARE BLVD,8,14,815,29002
054XX N LUNA AVE,16,45,1623,29003
060XX W 64TH ST,8,13,812,29004
056XX W 52ND ST,8,23,811,29005
038XX W HAYFORD ST,8,18,833,29006
101XX S CRANDON AVE,4,7,431,29007
061XX W 64TH ST,8,13,812,29008
048XX S RICHMOND ST,9,14,922,29009
059XX S WENTWORTH AVE,2,20,232,29010
025XX W IOWA ST,12,26,1211,29011
075XX S SEELEY AVE,6,18,611,29012
056XX W GIDDINGS ST,16,45,1622,29013
059XX S KILPATRICK AVE,8,23,813,29014
115XX S DOTY AVE W,5,9,532,29015
030XX S LLOYD AVE,9,11,913,29016
096XX S THROOP ST,22,21,2213,29017
081XX S KOMENSKY AVE,8,13,834,29018
040XX W BELLE PLAINE AVE,17,39,1722,29019
028XX W PETERSON AVE,24,50,2413,29020
052XX N LOCKWOOD AVE,16,45,1623,29021
024XX S HALSTED ST,9,11,913,29022
007XX S SPRINGFIELD AVE,11,24,1133,29023
027XX S BONFIELD ST,9,11,913,29024
105XX S HOXIE AVE,4,10,434,29025
026XX W 26TH ST,10,12,1034,29026
016XX W HIGHLAND AVE,24,40,2433,29027
107XX S TRUMBULL AVE,22,19,2211,29028
027XX W 46TH ST,9,12,922,29029
062XX N NEWARK AVE,16,41,1611,29030
064XX S KIMBARK AVE,3,20,314,29031
111XX S LOTHAIR AVE,22,19,2212,29032
008XX N Maplewood Ave,12,1,1211,29033
007XX N MORGAN ST,12,27,1214,29034
048XX W MELROSE ST,16,30,1634,29035
046XX S WELLS ST,9,3,925,29036
039XX W 86TH ST,8,18,834,29037
059XX W 59TH ST,8,23,811,29038
049XX N MAGNOLIA AVE,20,48,2033,29039
046XX S GREENWOOD AVE,2,4,222,29040
074XX N OTTAWA AVE,16,41,1611,29041
002XX S WELLS ST,1,2,122,29042
020XX N NEVA AVE,25,36,2512,29043
127XX S ESCANABA AVE,4,10,433,29044
078XX S KOLMAR AVE,8,13,834,29045
034XX S DEARBORN ST,2,3,211,29046
098XX S TORRENCE AVE,4,10,431,29047
004XX E KENSINGTON AVE,5,9,532,29048
024XX W LOGAN BLVD,14,35,1431,29049
070XX N ASHLAND BLVD,24,49,2423,29050
019XX N LECLAIRE AVE,25,36,2533,29051
023XX N HAMILTON AVE,14,32,1432,29052
026XX W LELAND AVE,19,47,1911,29053
050XX N CICERO AVE,16,45,1621,29054
033XX N KILDARE AVE,17,30,1731,29055
049XX S LARAMIE AVE,8,23,814,29056
055XX W ARDMORE AVE,16,45,1621,29057
057XX N MOODY AVE,16,45,1622,29058
050XX N MONITOR AVE,16,45,1622,29059
077XX W BIRCHWOOD AVE,16,41,1611,29060
017XX W 102ND ST,22,19,2213,29061
063XX N CICERO AVE,17,39,1711,29062
084XX S LANGLEY AVE,6,6,632,29063
046XX S LAKE SHORE DR SB,2,4,222,29064
023XX W 80TH ST,8,18,835,29065
047XX S WASHTENAW AVE,9,14,922,29066
025XX W 48TH ST,9,14,922,29067
023XX N NAGLE AVE,25,36,2512,29068
024XX W 21ST PL,10,25,1023,29069
027XX W 103RD ST,22,19,2211,29070
030XX W MEDILL AVE,14,35,1414,29071
003XX N WOLCOTT AVE,12,27,1223,29072
027XX N NARRAGANSETT AVE,25,29,2512,29073
036XX N MOZART ST,17,33,1733,29074
015XX S ROCKWELL ST,10,28,1023,29075
005XX N PESHTIGO CT,18,42,1834,29076
003XX W RANDOLPH ST,1,42,122,29077
004XX W MONROE ST,1,2,121,29078
067XX W CARMEN AVE,16,41,1613,29079
040XX S MORGAN ST,9,11,925,29080
064XX N NORTHWEST HWY,16,41,1611,29081
099XX S MICHIGAN AVE,5,6,511,29082
037XX W 113TH ST,22,19,2211,29083
021XX W AUGUSTA BLVD,12,32,1212,29084
011XX W 31ST ST,9,11,913,29085
009XX W 104TH ST,22,34,2232,29086
024XX W 58TH ST,8,16,824,29087
037XX S HOMAN AVE,9,12,911,29088
039XX S LA SALLE ST,2,3,213,29089
062XX N RAVENSWOOD AVE,24,50,2413,29090
059XX W Montrose Ave,16,38,1624,29091
078XX S REILLY AVE,8,18,833,29092
056XX N MENARD AVE,16,45,1622,29093
032XX S WALLACE ST,9,11,915,29094
028XX W 12TH PL,10,24,1022,29095
022XX S ASHLAND AVE,10,25,1034,29096
087XX S WESTERN AVE,22,19,2221,29097
108XX S AVENUE F,4,10,432,29098
005XX W 102ND ST,22,9,2232,29099
021XX S HOYNE AVE,12,25,1234,29100
005XX N DAMEN AVE,12,26,1221,29101
030XX S ARCHER AVE,9,11,912,29102
029XX E 92ND ST,4,10,423,29103
068XX W WABANSIA AVE,25,36,2513,29104
033XX S KEDZIE AVE,10,12,1033,29105
043XX W WILSON AVE,17,45,1722,29106
068XX W ROSCOE ST,16,36,1632,29107
074XX S CRANDON AVE,3,7,334,29108
023XX W 51ST ST,9,16,932,29109
057XX S WELLS ST,7,20,711,29110
056XX W CORNELIA AVE,16,38,1633,29111
014XX W WOLFRAM ST,19,32,1932,29112
010XX W CERMAK RD,12,25,1235,29113
008XX N OAKLEY BLVD,12,32,1212,29114
038XX N KEYSTONE AVE,17,30,1732,29115
039XX N KOSTNER AVE,17,38,1731,29116
009XX W 64TH ST,7,16,723,29117
016XX W 100TH PL,22,19,2213,29118
004XX W 14TH ST,1,2,124,29119
033XX N MILWAUKEE AVE,17,31,1731,29120
051XX W HENDERSON ST,16,31,1634,29121
057XX N KARLOV AVE,17,39,1711,29122
051XX S NATOMA AVE,8,23,811,29123
015XX W HUBBARD ST,12,27,1215,29124
064XX N PAULINA ST,24,40,2432,29125
001XX N OGDEN AVE,12,27,1224,29126
025XX W 61ST ST,8,15,825,29127
072XX N CLAREMONT AVE,24,49,2411,29128
053XX W 54TH ST,8,23,814,29129
024XX N SAYRE AVE,25,36,2512,29130
024XX W 80TH ST,8,18,835,29131
068XX W WRIGHTWOOD AVE,25,36,2512,29132
077XX S BLACKSTONE AVE,4,5,411,29133
005XX W 64TH ST,7,20,722,29134
060XX S LAFLIN ST,7,15,713,29135
004XX E 50TH ST,2,3,223,29136
024XX W 57TH ST,8,16,824,29137
020XX W Race Ave,12,26,1221,29138
065XX S KILDARE AVE,8,13,833,29139
041XX N LAVERGNE AVE,16,45,1624,29140
026XX W GRAND AVE,12,27,1221,29141
008XX S RACINE AVE,12,25,1232,29142
023XX N LARAMIE AVE,25,31,2522,29143
030XX S PRINCETON AVE,9,11,914,29144
097XX S VINCENNES AVE,22,21,2223,29145
023XX N HALSTED ST,18,43,1812,29146
053XX S FRANCISCO AVE,9,14,923,29147
008XX W VILLAGE CT,12,25,1232,29148
062XX W CORTLAND ST,25,29,2513,29149
007XX W 77TH ST,6,6,621,29150
015XX W CULLOM AVE,19,47,1912,29151
025XX W THOMAS ST,12,1,1211,29152
025XX W GLENLAKE AVE,24,50,2413,29153
035XX N OZARK AVE,16,36,1631,29154
110XX S AVENUE F,4,10,433,29155
012XX N KOSTNER AVE,25,37,2534,29156
009XX N STATE ST,18,42,1832,29157
024XX E 71ST ST,3,5,334,29158
015XX E 65TH ST,3,5,314,29159
011XX W NORTH SHORE AVE,24,49,2432,29160
002XX W 57TH ST,7,20,711,29161
040XX S TALMAN AVE,9,12,921,29162
017XX W WINNEMAC AVE,20,47,2032,29163
007XX W 115TH ST,5,34,524,29164
005XX W VERNON PARK PL,1,2,124,29165
084XX S YATES BLVD,4,8,412,29166
054XX S AVERS AVE,8,23,822,29167
061XX W TOUHY AVE,16,41,1621,29168
008XX N WESTERN AVE,12,1,1212,29169
090XX S DAMEN AVE,22,19,2221,29170
022XX W 95TH ST,22,19,2221,29171
014XX W 92ND ST,22,21,2222,29172
068XX N CLARK ST,24,49,2424,29173
025XX N GREENVIEW AVE,19,2,1932,29174
054XX N PULASKI RD,17,39,1712,29175
030XX N RAVENSWOOD AVE,19,32,1931,29176
048XX W 63RD ST,8,13,813,29177
024XX W 47TH PL,9,15,922,29178
071XX W 61ST ST,8,23,812,29179
065XX N FAIRFIELD AVE,24,50,2412,29180
052XX S WESTERN BLVD,9,16,923,29181
013XX S CALIFORNIA BLVD,10,24,1022,29182
033XX E 133RD ST,4,10,433,29183
054XX S CENTRAL AVE,8,23,814,29184
017XX W BELLE PLAINE AVE,19,47,1912,29185
070XX W SUMMERDALE AVE,16,41,1613,29186
133XX S MACKINAW AVE,4,10,433,29187
004XX N KINGSBURY ST,18,42,1831,29188
008XX E 95TH ST,4,8,413,29189
016XX N Bell Ave,14,1,1434,29190
026XX W 100TH ST,22,19,2211,29191
017XX W 101ST ST,22,19,2213,29192
008XX E 106TH ST,5,9,512,29193
003XX W SCOTT ST,18,43,1821,29194
019XX N MOHAWK ST,18,43,1813,29195
057XX N MAGNOLIA AVE,20,48,2013,29196
042XX W FULLERTON AVE,25,31,2522,29197
026XX N RACINE AVE,19,32,1932,29198
058XX S PAYNE DR,2,20,233,29199
027XX E 75TH ST,4,7,421,29200
018XX W JUNEWAY TER,24,49,2422,29201
050XX S KEDVALE AVE,8,14,815,29202
063XX N LEROY AVE,16,45,1621,29203
025XX S MOE DR,1,2,132,29204
041XX N CALIFORNIA AVE,17,33,1724,29205
018XX W Armitage Ave,14,32,1434,29206
038XX W BELDEN AVE,25,30,2525,29207
054XX S NEENAH AVE,8,23,811,29208
046XX W 53RD ST,8,23,815,29209
023XX S KEDVALE AVE,10,22,1013,29210
014XX N WOOD ST,14,1,1433,29211
054XX S KOLIN AVE,8,23,815,29212
024XX W ADAMS ST,11,27,1125,29213
024XX N CENTRAL PARK AVE,14,26,1413,29214
015XX W 84TH ST,6,21,614,29215
013XX W MONTROSE AVE,19,46,1915,29216
040XX S HALSTED ST,9,11,925,29217
006XX S LAKE SHORE DR NB,1,42,114,29218
092XX S PAXTON AVE,4,7,413,29219
005XX N WOLCOTT AVE,12,1,1221,29220
063XX W SCHOOL ST,16,36,1633,29221
024XX S MICHIGAN AVE,1,2,132,29222
014XX N KOLIN AVE,25,26,2534,29223
016XX W 49TH ST,9,20,931,29224
104XX S LEAVITT ST,22,19,2212,29225
053XX W NELSON ST,25,31,2514,29226
034XX N OCONTO AVE,16,36,1631,29227
001XX W SUPERIOR ST,18,2,1832,29228
036XX N DAMEN AVE,19,47,1921,29229
017XX W Addison St,19,47,1922,29230
064XX N MINNEHAHA AVE,16,41,1621,29231
018XX W 88TH ST,22,21,2221,29232
007XX E 120TH ST,5,9,532,29233
079XX S MAPLEWOOD AVE,8,18,835,29234
062XX S CICERO AVE,8,23,813,29235
008XX W 38TH ST,9,11,915,29236
065XX N WASHTENAW AVE,24,50,2412,29237
030XX E 106TH ST,4,10,431,29238
023XX W 43RD ST,9,12,924,29239
017XX W DEVON AVE,24,50,2432,29240
017XX W WRIGHTWOOD AVE,19,32,1931,29241
012XX W AUGUSTA BLVD,12,27,1213,29242
019XX W BERWYN AVE,20,40,2012,29243
073XX W GREENLEAF AVE,16,41,1611,29244
108XX S AVENUE B,4,10,432,29245
039XX S LAKE SHORE DR NB,2,4,212,29246
101XX S HARDING AVE,22,19,2211,29247
036XX N PANAMA AVE,16,36,1631,29248
021XX W Churchill St,14,32,1434,29249
075XX S EGGLESTON AVE,6,6,621,29250
051XX W HURON ST,15,37,1531,29251
024XX S CHRISTIANA AVE,10,12,1024,29252
002XX E CHICAGO AVE,18,2,1833,29253
037XX N OSCEOLA AVE,16,36,1631,29254
048XX N CENTRAL AVE,16,45,1622,29255
109XX S HAMLIN AVE,22,19,2211,29256
036XX W POTOMAC AVE,25,26,2535,29257
013XX S WABASH AVE,1,3,131,29258
058XX N WESTERN AVE,20,40,2012,29259
025XX W FOSTER AVE,20,40,2011,29260
009XX S MASON AVE,15,29,1513,29261
023XX W 59TH ST,8,16,824,29262
038XX N OSCEOLA AVE,16,38,1631,29263
007XX W OAKDALE AVE,19,44,1934,29264
034XX W CORTLAND ST,14,26,1422,29265
0000X S DESPLAINES ST,1,2,121,29266
050XX N NEVA AVE,16,41,1613,29267
022XX N CENTRAL AVE,25,36,2515,29268
023XX W WARREN BLVD,12,27,1223,29269
010XX S HOMAN AVE,11,24,1134,29270
114XX S EMERALD AVE,22,34,2233,29271
092XX S DR MARTIN LUTHER KING JR DR,6,9,633,29272
021XX W 63RD ST,7,15,714,29273
009XX W 66TH ST,7,17,723,29274
071XX N SIOUX AVE,16,41,1621,29275
095XX S AVENUE O,4,10,432,29276
034XX N NARRAGANSETT AVE,16,36,1633,29277
013XX W Jarvis Ave,24,49,2422,29278
057XX N MOBILE AVE,16,45,1622,29279
044XX N LA CROSSE AVE,16,45,1623,29280
0000X W H1 ST,16,41,1653,29281
022XX W LUNT AVE,24,50,2411,29282
052XX N WESLEY TER,31,41,1654,29283
020XX N TRIPP AVE,25,35,2522,29284
025XX N MILWAUKEE AVE,14,35,1411,29285
010XX W 114TH PL,22,34,2234,29286
067XX S ROCKWELL ST,8,17,832,29287
031XX E 91ST ST,4,10,424,29288
023XX W WAVELAND AVE,19,47,1921,29289
039XX N OCTAVIA AVE,16,38,1631,29290
101XX S STONY ISLAND AVE,5,8,511,29291
114XX S AVENUE L,4,10,433,29292
029XX S LAKE SHORE DR NB,1,4,133,29293
049XX N CALIFORNIA AVE,20,40,2031,29294
076XX S WALLACE ST,6,17,621,29295
064XX N HIAWATHA AVE,16,41,1621,29296
045XX W 56TH ST,8,13,813,29297
073XX W FARWELL AVE,16,41,1611,29298
042XX W BRYN MAWR AVE,17,39,1711,29299
046XX W FULLERTON AVE,25,31,2522,29300
025XX W BALMORAL AVE,20,40,2011,29301
017XX W 86TH ST,6,18,614,29302
012XX W ADDISON ST,19,44,1924,29303
016XX W SCHOOL ST,19,44,1922,29304
107XX S HOMAN AVE,22,19,2211,29305
003XX S LAVERGNE AVE,15,29,1533,29306
008XX W DAKIN ST,19,46,1923,29307
037XX W 49TH ST,8,14,821,29308
019XX N SAWYER AVE,14,35,1421,29309
020XX N LATROBE AVE,25,37,2515,29310
060XX S WENTWORTH AVE,3,20,311,29311
059XX W CORNELIA AVE,16,38,1633,29312
049XX W BERTEAU AVE,16,45,1624,29313
086XX S WASHTENAW AVE,8,18,835,29314
007XX W 52ND ST,9,3,935,29315
053XX S ASHLAND AVE,9,16,932,29316
0000X E 114TH PL,5,9,531,29317
034XX W 12TH PL,10,24,1021,29318
040XX W KINZIE ST,11,28,1114,29319
039XX N HAMLIN AVE,17,39,1732,29320
007XX E 45TH ST,2,4,221,29321
043XX W 44TH ST,8,14,815,29322
002XX N Michigan Ave,1,42,114,29323
010XX S THROOP ST,12,2,1231,29324
027XX W 52ND ST,9,14,923,29325
002XX E Ontario St,18,42,1834,29326
063XX N SAYRE AVE,16,41,1611,29327
007XX W MADISON ST,12,27,1224,29328
038XX N MILWAUKEE CT,17,38,1731,29329
098XX S VINCENNES AVE,22,21,2213,29330
031XX N RIDGEWAY AVE,25,35,2523,29331
054XX N ELSTON AVE,16,45,1623,29332
040XX W 15TH ST,10,24,1012,29333
035XX W GLENLAKE AVE,17,50,1711,29334
130XX S BRANDON AVE,4,10,433,29335
030XX W JARLATH ST,24,50,2411,29336
0000X W C29 ST,16,41,1651,29337
086XX S KENWOOD AVE,4,8,412,29338
0000X S A2 ST,8,23,813,29339
009XX S FINANCIAL PL,1,2,123,29340
003XX N BELL AVE,12,27,1223,29341
007XX N ARMOUR ST,12,27,1215,29342
051XX S GREENWOOD AVE,2,4,233,29343
074XX S SOUTH CHICAGO AVE,3,5,324,29344
055XX W 63RD ST,8,23,813,29345
033XX N HARLEM AVE,16,29,1631,29346
004XX W 75TH ST,6,17,621,29347
111XX S MARSHFIELD AVE,22,34,2234,29348
032XX W 60TH ST,8,16,822,29349
041XX S OAKLEY AVE,9,12,924,29350
024XX W GRACE ST,19,47,1921,29351
034XX W 72ND PL,8,18,831,29352
055XX N CALIFORNIA AVE,20,40,2011,29353
066XX S HAMLIN AVE,8,13,833,29354
061XX S BLACKSTONE AVE,3,20,314,29355
093XX S LEAVITT ST,22,19,2221,29356
020XX W FERDINAND ST,12,26,1221,29357
052XX S LAKE SHORE DR NB,2,4,234,29358
0000X W B10 ST,16,41,1651,29359
051XX S KOSTNER AVE,8,23,815,29360
059XX N OKETO AVE,16,41,1612,29361
047XX N SIMONDS DR,19,46,1914,29362
096XX S LEAVITT ST,22,19,2213,29363
137XX S BRAINARD AVE,4,10,433,29364
069XX S KENWOOD AVE,3,5,321,29365
029XX S CALIFORNIA AVE,10,12,1033,29366
045XX N MARMORA AVE,16,38,1622,29367
011XX W EASTMAN ST,18,32,1822,29368
041XX N BERNARD ST,17,33,1723,29369
031XX N RAVENSWOOD AVE,19,32,1931,29370
070XX W DEVON AVE,16,41,1611,29371
006XX W 117TH ST,5,34,524,29372
068XX N ORIOLE AVE,16,41,1611,29373
008XX W 57TH ST,7,20,712,29374
032XX N WESTERN AVE,19,47,1921,29375
031XX E 80TH ST,4,7,422,29376
014XX N CLEAVER ST,14,32,1433,29377
062XX N MAPLEWOOD AVE,24,50,2413,29378
008XX S KILDARE AVE,11,24,1131,29379
007XX E 130TH ST,5,9,533,29380
009XX W 14TH PL,12,25,1232,29381
012XX W VAN BUREN ST,12,28,1231,29382
008XX N KILPATRICK AVE,11,37,1111,29383
029XX W 83RD ST,8,18,835,29384
025XX W POPE JOHN PAUL II DR,9,12,922,29385
021XX N CENTRAL PARK AVE,14,26,1413,29386
030XX W 83RD PL,8,18,835,29387
073XX W HOWARD ST,16,41,1611,29388
009XX S DAMEN AVE,12,2,1225,29389
010XX W 108TH PL,22,34,2234,29390
025XX W 24TH ST,10,28,1034,29391
023XX W 47TH ST,9,12,922,29392
032XX N LARAMIE AVE,16,38,1634,29393
032XX N TALMAN AVE,17,33,1733,29394
044XX S LECLAIRE AVE,8,23,814,29395
047XX N LUNA AVE,16,45,1623,29396
036XX W OAKDALE AVE,25,30,2523,29397
012XX W Winnemac Ave,20,46,2033,29398
055XX N LONG AVE,16,45,1623,29399
025XX W ADAMS ST,11,2,1125,29400
041XX N MOZART ST,17,33,1724,29401
017XX W 88TH ST,22,21,2221,29402
031XX S PRAIRIE AVE,2,2,211,29403
043XX N LOWELL AVE,17,38,1722,29404
017XX W Morse Ave,24,49,2431,29405
053XX W FULTON ST,15,28,1523,29406
059XX W DICKENS AVE,25,29,2515,29407
020XX W GREENLEAF AVE,24,49,2424,29408
111XX S SAWYER AVE,22,19,2211,29409
029XX N RIVERWALK DR,14,1,1432,29410
033XX N PITTSBURGH AVE,16,36,1631,29411
005XX N MENARD AVE,15,29,1512,29412
018XX N WELLS ST,18,43,1814,29413
023XX W ROOSEVELT RD,12,25,1233,29414
041XX S LA SALLE ST,2,3,213,29415
023XX W BARRY AVE,19,1,1931,29416
110XX S HALE AVE,22,19,2212,29417
055XX W HADDON AVE,15,37,1524,29418
032XX W BERTEAU AVE,17,33,1724,29419
052XX W 63RD ST,8,23,813,29420
032XX N LARAMIE AVE,16,30,1634,29421
112XX S EMERALD AVE,22,34,2233,29422
122XX S STONY ISLAND AVE,4,10,434,29423
005XX N WOLCOTT AVE,12,26,1221,29424
002XX E chicago ave,18,42,1833,29425
108XX S RHODES AVE,5,9,513,29426
0000X W CHECKPOINT 10 ST,16,41,1655,29427
005XX E 92ND PL,6,6,633,29428
031XX W GRACE ST,17,33,1733,29429
090XX S LAFAYETTE AVE,6,21,634,29430
028XX E 89TH ST,4,7,423,29431
014XX E 83RD ST,4,8,411,29432
003XX S KEELER AVE,11,24,1132,29433
106XX S UNION AVE,22,34,2233,29434
030XX E 93RD ST,4,10,424,29435
105XX S LANGLEY AVE,5,9,512,29436
060XX W GRACE ST,16,38,1633,29437
005XX W 88TH ST,22,21,2223,29438
002XX N Garland Ct,1,42,111,29439
061XX W GRACE ST,16,38,1633,29440
013XX W 43RD ST,9,11,924,29441
004XX S HALSTED ST,12,2,1232,29442
001XX E 93RD ST,6,6,634,29443
026XX S LAWNDALE AVE,10,22,1032,29444
011XX W 69TH ST,7,6,733,29445
063XX N KENMORE AVE,24,49,2433,29446
040XX W 60TH ST,8,13,813,29447
007XX W 68TH ST,7,6,723,29448
078XX W RASCHER AVE,16,41,1613,29449
061XX N LEAVITT ST,24,40,2413,29450
007XX W 59TH ST,7,16,711,29451
020XX S MILLARD AVE,10,24,1014,29452
052XX W ADDISON ST,16,30,1634,29453
012XX W Fletcher St,19,32,1933,29454
004XX W 47TH ST,9,11,925,29455
025XX W 103RD ST,22,19,2211,29456
031XX N SACRAMENTO AVE,14,33,1411,29457
001XX N KEYSTONE AVE,11,28,1114,29458
006XX W Grand Ave,12,27,1214,29459
099XX S MICHIGAN AVE,5,9,511,29460
0000X W PERSHING RD,2,3,213,29461
060XX W BARRY AVE,25,36,2511,29462
094XX S VANDERPOEL AVE,22,19,2221,29463
064XX W STRONG ST,16,41,1613,29464
070XX S COTTAGE GROVE AVE,3,5,321,29465
023XX S WOOD ST,10,25,1034,29466
007XX S MAY ST,12,25,1232,29467
041XX S VINCENNES AVE,2,4,214,29468
017XX S STEWART AVE,12,25,1235,29469
010XX E 83RD ST,6,8,632,29470
101XX S CHARLES ST,22,21,2213,29471
037XX N NARRAGANSETT AVE,16,38,1633,29472
062XX N LAWNDALE AVE,17,50,1711,29473
036XX E 112TH ST,4,10,433,29474
029XX W ALTGELD ST,14,35,1414,29475
052XX N NEW ENGLAND AVE,16,41,1613,29476
035XX W 80TH PL,8,18,834,29477
008XX W 80TH ST,6,21,621,29478
061XX N OVERHILL AVE,16,41,1612,29479
0000X W B2 ST,16,41,1651,29480
015XX W 45TH ST,9,11,924,29481
041XX W 78TH ST,8,18,834,29482
051XX N TRIPP AVE,17,39,1712,29483
021XX E 84TH ST,4,8,412,29484
024XX N AUSTIN AVE,25,30,2515,29485
016XX W 75TH PL,6,17,611,29486
076XX W TALCOTT AVE,16,41,1612,29487
031XX N GREENVIEW AVE,19,32,1933,29488
069XX W FOSTER AVE,16,41,1613,29489
033XX W GRAND AVE,11,26,1121,29490
032XX W COLUMBUS AVE,8,18,834,29491
050XX S MAY ST,9,20,933,29492
002XX N DESPLAINES ST,12,42,1214,29493
057XX S HALSTED ST,7,20,711,29494
037XX N PONTIAC AVE,16,36,1631,29495
003XX W BELMONT AVE,19,44,1925,29496
030XX W PERSHING RD,9,14,921,29497
082XX S STEWART AVE,6,21,622,29498
016XX W NORTH SHORE AVE,24,49,2432,29499
026XX S HOMAN AVE,10,12,1032,29500
034XX W 54TH PL,8,14,822,29501
039XX E FOREMAN DR,4,10,432,29502
111XX S STATE ST,5,9,531,29503
042XX W CULLOM AVE,17,38,1722,29504
002XX W SCHILLER ST,18,43,1821,29505
031XX E 92ND ST,4,10,424,29506
078XX S VINCENNES AVE,6,17,621,29507
063XX N MELVINA AVE,16,45,1611,29508
037XX W 69TH PL,8,13,833,29509
057XX W GROVER ST,16,45,1622,29510
042XX N LARAMIE AVE,16,38,1624,29511
003XX E 43RD ST,2,3,215,29512
069XX W BELDEN AVE,25,36,2512,29513
037XX N PITTSBURGH AVE,16,36,1631,29514
035XX W 84TH PL,8,18,834,29515
032XX S FEDERAL ST,2,3,211,29516
012XX W 13TH ST,12,2,1233,29517
006XX S SPRINGFIELD AVE,11,24,1133,29518
001XX E JACKSON DR,1,42,114,29519
018XX E 103RD ST,4,10,434,29520
007XX E SOLIDARITY DR,1,2,132,29521
062XX S LA SALLE ST,3,20,311,29522
006XX W WASHINGTON BLVD,12,27,1224,29523
061XX W BERTEAU AVE,16,38,1624,29524
033XX N PULASKI RD,17,31,1731,29525
022XX W SUPERIOR ST,12,32,1221,29526
070XX W 63RD ST,8,23,812,29527
013XX W 113TH PL,22,34,2234,29528
019XX W CULLOM AVE,19,47,1912,29529
007XX S RACINE AVE,12,25,1231,29530
111XX S ABERDEEN ST,22,34,2234,29531
013XX S PULASKI RD,10,24,1011,29532
092XX S LANGLEY AVE,6,9,633,29533
058XX N FAIRFIELD AVE,20,40,2011,29534
065XX N WINTHROP AVE,24,49,2432,29535
002XX W ROOSEVELT RD,1,2,123,29536
052XX S HALSTED ST,9,3,935,29537
062XX W 60TH ST,8,23,812,29538
060XX N MASON AVE,16,45,1611,29539
007XX S KILDARE AVE,11,24,1132,29540
015XX N SEDGWICK ST,18,27,1821,29541
004XX S SANGAMON ST,12,2,1232,29542
049XX N NAGLE AVE,16,45,1622,29543
034XX N MARMORA AVE,16,38,1633,29544
010XX S MORGAN ST,12,25,1232,29545
047XX W 85TH ST,8,18,834,29546
044XX W 66TH ST,8,13,833,29547
029XX N MAJOR AVE,25,30,2514,29548
029XX W 60TH ST,8,16,824,29549
028XX W CATALPA AVE,20,40,2011,29550
051XX N Chester Ave,16,41,1614,29551
083XX W FOREST PRESERVE AVE,16,36,1631,29552
040XX W Foster Ave,17,39,1712,29553
054XX W ROSCOE ST,16,38,1633,29554
016XX E MUSEUM DR,3,5,331,29555
017XX E 67TH ST,3,5,331,29556
040XX W 82ND PL,8,13,834,29557
021XX W DIVERSEY PKWY,19,1,1931,29558
038XX W PALMER ST,25,26,2525,29559
083XX S KENWOOD AVE,4,8,412,29560
071XX S HALSTED ST,7,6,732,29561
133XX S VERNON AVE,5,9,533,29562
021XX N LECLAIRE AVE,25,37,2522,29563
023XX W 79TH PL,8,18,835,29564
008XX W 34TH PL,9,11,913,29565
049XX W WARNER AVE,16,45,1624,29566
024XX W ALTGELD ST,14,1,1431,29567
016XX W PRATT BLVD,24,40,2432,29568
105XX S THROOP ST,22,21,2232,29569
083XX S HOMAN AVE,8,18,834,29570
034XX W GRACE ST,17,35,1732,29571
029XX E 86TH ST,4,10,423,29572
021XX W CORNELIA AVE,19,32,1921,29573
045XX W KINZIE ST,11,28,1113,29574
023XX N ALBANY AVE,14,35,1414,29575
029XX W 46TH ST,9,14,922,29576
067XX N Ashland Ave,24,49,2432,29577
082XX S WHIPPLE ST,8,18,835,29578
033XX E 107TH ST,4,10,432,29579
075XX S CLAREMONT AVE,8,18,835,29580
006XX W ROOT ST,9,11,925,29581
058XX S EMERALD AVE,7,20,711,29582
091XX S LOWE AVE,22,21,2223,29583
069XX W ARGYLE ST,16,41,1613,29584
018XX W 59TH ST,7,15,715,29585
017XX W 94TH ST,22,19,2221,29586
016XX N Artesian Ave,14,1,1434,29587
002XX S KOSTNER AVE,11,28,1115,29588
031XX S ST LOUIS AVE,10,22,1032,29589
066XX N HIAWATHA AVE,16,41,1621,29590
092XX S CLYDE AVE,4,8,413,29591
024XX W GRANVILLE AVE,24,50,2413,29592
000XX S PULASKI RD,11,28,1122,29593
037XX S PULASKI RD,8,14,821,29594
021XX W 116TH ST,22,19,2212,29595
035XX S ROCKWELL ST,9,12,911,29596
027XX N LAKE SHORE DR NB,19,43,1935,29597
031XX N HONORE ST,19,32,1931,29598
040XX S DR MARTIN LUTHER KING JR DR,2,3,213,29599
001XX S CENTRAL PARK BLVD,11,28,1123,29600
013XX E 61ST ST,2,20,235,29601
007XX W 60TH ST,8,16,711,29602
023XX W PETERSON AVE,24,40,2413,29603
034XX E 134TH ST,4,10,433,29604
068XX N WILDWOOD AVE,16,41,1621,29605
037XX N ORIOLE AVE,16,36,1631,29606
009XX E 77TH ST,6,8,624,29607
037XX N LINCOLN AVE,19,47,1922,29608
040XX W 25TH PL,10,22,1013,29609
025XX N SHEFFIELD AVE,19,43,1932,29610
040XX S EMERALD AVE,9,11,925,29611
025XX N ARTESIAN AVE,14,35,1431,29612
057XX S NORDICA AVE,8,23,811,29613
027XX S MICHIGAN AVE,1,3,133,29614
050XX N WINCHESTER AVE,20,40,2032,29615
038XX W CARMEN AVE,17,39,1712,29616
013XX W 47TH ST,9,3,924,29617
060XX S KNOX AVE,8,13,813,29618
