Block,District,Ward,Beat,location_id
014XX S KENNETH AVE,10,24,1011,240
058XX S TRUMBULL AVE,8,14,822,241
100XX S MICHIGAN AVE,5,9,511,242
028XX E 80TH ST,4,7,422,243
007XX S CALIFORNIA AVE,11,2,1135,244
016XX W DIVISION ST,14,1,1424,245
005XX N LOCKWOOD AVE,15,28,1523,246
012XX W WAVELAND AVE,19,44,1923,247
037XX W OGDEN AVE,10,24,1014,248
039XX W ROOSEVELT RD,11,24,1132,249
053XX N KEDZIE AVE,17,40,1712,250
0000X E VAN BUREN ST,1,2,113,251
022XX N ASHLAND AVE,14,32,1432,252
004XX E OHIO ST,18,42,1834,253
025XX N RIDGEWAY AVE,25,35,2524,254
076XX N SHERIDAN RD,24,49,2422,255
038XX W CONGRESS PKWY,11,24,1133,256
007XX N THROOP ST,12,27,1215,257
003XX E WACKER DR,1,42,114,258
069XX S ROCKWELL ST,8,18,832,259
072XX S SACRAMENTO AVE,8,18,831,260
032XX N SHEFFIELD AVE,19,44,1924,261
012XX S AVERS AVE,10,24,1011,262
053XX S DREXEL AVE,2,5,233,263
015XX N WESTERN AVE,14,1,1423,264
041XX W 26TH ST,10,22,1013,265
105XX S BENSLEY AVE,4,10,434,266
132XX S DR MARTIN LUTHER KING JR DR,5,9,533,267
003XX W 80TH ST,6,17,623,268
079XX S VINCENNES AVE,6,17,621,269
083XX S INGLESIDE AVE,6,8,632,270
008XX W RANDOLPH ST,12,27,1224,271
010XX W ADDISON ST,19,44,1923,272
027XX W WARREN BLVD,12,2,1222,273
006XX N STATE ST,18,42,1834,274
076XX S DANTE AVE,4,5,411,275
006XX N WABASH AVE,18,42,1834,276
005XX N LAVERGNE AVE,15,28,1532,277
054XX W 63RD PL,8,13,813,278
032XX W JACKSON BLVD,11,28,1124,279
020XX N HALSTED ST,18,43,1812,280
037XX N SHEFFIELD AVE,19,44,1923,281
027XX W MADISON ST,12,2,1222,282
071XX S SEELEY AVE,7,17,735,283
113XX S MICHIGAN AVE,5,9,531,284
052XX S KOLIN AVE,8,23,815,285
083XX S THROOP ST,6,21,613,286
014XX E 69TH ST,3,5,332,287
098XX S BEVERLY AVE,22,21,2213,288
